,time,status1,status2,status3,status4,status5,status6,status7,status8,status9,status10,status11,status12,status13,status14,status15,status16,status17,status18,status19,unsure,green,red,all,unsure percent,green percent,red percent
63,3.15,red,unsure,red,red,red,unsure,red,red,unsure,red,unsure,unsure,red,unsure,red,unsure,red,unsure,red,8,0,11,19,0.4211,0.0,0.5789
64,3.2,red,unsure,red,red,red,unsure,red,red,unsure,red,unsure,unsure,red,unsure,red,unsure,red,unsure,red,8,0,11,19,0.4211,0.0,0.5789
65,3.25,red,unsure,red,red,red,unsure,red,red,unsure,red,unsure,unsure,red,unsure,red,unsure,red,unsure,red,8,0,11,19,0.4211,0.0,0.5789
66,3.3,red,unsure,red,red,red,unsure,red,red,unsure,red,unsure,unsure,red,unsure,red,unsure,red,unsure,red,8,0,11,19,0.4211,0.0,0.5789
67,3.35,red,unsure,red,red,red,unsure,red,red,unsure,red,unsure,unsure,red,unsure,red,unsure,red,unsure,red,8,0,11,19,0.4211,0.0,0.5789
68,3.4,red,unsure,red,red,red,unsure,red,red,unsure,red,unsure,unsure,red,unsure,red,unsure,red,unsure,red,8,0,11,19,0.4211,0.0,0.5789
69,3.45,red,unsure,red,red,red,unsure,red,red,unsure,red,unsure,unsure,red,unsure,red,unsure,red,red,red,7,0,12,19,0.3684,0.0,0.6316
70,3.5,red,unsure,red,red,red,unsure,red,red,unsure,red,unsure,unsure,red,unsure,red,unsure,red,red,red,7,0,12,19,0.3684,0.0,0.6316
71,3.55,red,unsure,red,red,red,unsure,red,red,unsure,red,unsure,unsure,red,unsure,red,unsure,red,red,red,7,0,12,19,0.3684,0.0,0.6316
72,3.6,red,unsure,red,red,red,unsure,red,red,unsure,red,unsure,unsure,red,unsure,red,unsure,red,red,red,7,0,12,19,0.3684,0.0,0.6316
73,3.65,red,unsure,red,red,red,unsure,red,red,unsure,red,unsure,unsure,red,unsure,red,unsure,red,red,red,7,0,12,19,0.3684,0.0,0.6316
74,3.7,red,unsure,red,red,red,unsure,red,red,unsure,red,unsure,unsure,red,unsure,red,unsure,red,red,red,7,0,12,19,0.3684,0.0,0.6316
75,3.75,red,unsure,red,red,red,unsure,red,red,unsure,red,unsure,unsure,red,unsure,red,red,red,red,red,6,0,13,19,0.3158,0.0,0.6842
76,3.8,red,unsure,red,red,red,unsure,red,red,red,red,unsure,unsure,red,unsure,red,red,red,red,red,5,0,14,19,0.2632,0.0,0.7368
77,3.85,red,unsure,red,red,red,unsure,red,red,red,red,unsure,unsure,red,unsure,red,red,red,red,red,5,0,14,19,0.2632,0.0,0.7368
78,3.9,red,unsure,red,red,red,unsure,red,red,red,red,unsure,unsure,red,unsure,red,red,red,red,red,5,0,14,19,0.2632,0.0,0.7368
79,3.95,red,unsure,red,red,red,unsure,red,red,red,red,unsure,unsure,red,unsure,red,red,red,red,red,5,0,14,19,0.2632,0.0,0.7368
80,4.0,red,unsure,red,red,red,unsure,red,red,red,red,unsure,unsure,red,unsure,red,red,red,red,red,5,0,14,19,0.2632,0.0,0.7368
81,4.05,red,unsure,red,red,red,unsure,red,red,red,red,unsure,unsure,red,unsure,red,red,red,red,red,5,0,14,19,0.2632,0.0,0.7368
82,4.1,red,unsure,red,red,red,red,red,red,red,red,unsure,unsure,red,unsure,red,red,red,red,red,4,0,15,19,0.2105,0.0,0.7895
83,4.15,red,unsure,red,red,red,red,red,red,red,red,unsure,unsure,red,unsure,red,red,red,red,red,4,0,15,19,0.2105,0.0,0.7895
